PMID,gene,drug,interaction
17016423,g831,d3100,no_interaction
17016423,g1587,d2809,no_interaction
17227289,g1257,d1934,inhibitor
16168052,g1807,d331,agonist
20030735,g86,d3539,agonist
15792781,g1884,d2556,inhibitor
11300648,g36,d419,inhibitor
17157111,g1477,d3078,multitarget
17016423,g741,d2123,no_interaction
17082235,g1807,d2702,agonist
17016423,g831,d3504,no_interaction
15357957,g1113,d2580,antagonist
17720886,g1633,d2070,agonist
17016423,g1641,d2123,no_interaction
20407761,g1110,d3562,agonist
17016423,g36,d77,no_interaction
19818342,g1401,d2644,inhibitor
9089664,g90,d3393,binder
17016423,g833,d1693,no_interaction
17016423,g36,d2123,no_interaction
17379518,g79,d3111,activator
17016423,g1174,d83,no_interaction
17603755,g2376,d2645,inhibitor
10749876,g1579,d3166,cofactor
9831331,g1884,d2807,inhibitor
18580862,g1807,d3303,partial agonist
7713167,g1078,d2617,antagonist
15096229,g1109,d3562,agonist
1666366,g89,d2241,binder
16818707,g2200,d1954,inhibitor
17016423,g479,d330,no_interaction
9042024,g599,d3545,antagonist
17016423,g479,d2123,no_interaction
12033454,g1850,d2563,activator
2469524,g2407,d2289,binder
20135628,g2099,d3330,inhibitor
17394438,g147,d3554,inhibitor
17016423,g1884,d77,no_interaction
17610002,g1807,d2318,agonist
1600046,g1116,d1708,agonist
10626810,g1883,d3259,inhibitor
11792366,g1879,d2331,agonist
12063084,g1108,d221,partial agonist
17016423,g833,d77,no_interaction
17016423,g2099,d2988,no_interaction
17592198,g19,d2654,inhibitor
17016423,g1884,d2261,no_interaction
17016423,g2148,d3400,no_interaction
17016423,g1810,d2456,no_interaction
17016423,g741,d3504,no_interaction
17475903,g304,d2092,inhibitor
17016423,g2412,d2385,no_interaction
17154512,g1306,d1815,multitarget
16749788,g765,d2792,inhibitor
15381280,g849,d3047,cofactor
17596133,g2418,d59,inhibitor
17455259,g1033,d2839,inhibitor
16079485,g2197,d394,inhibitor
17016423,g1611,d2564,no_interaction
19091563,g656,d1679,antagonist
10450786,g1883,d2508,inhibitor
2004037,g1601,d2509,agonist
11264449,g835,d2908,no_interaction
20967473,g1697,d3391,inhibitor
17016423,g618,d2564,no_interaction
15897880,g1934,d3417,agonist
21858491,g1878,d3274,agonist
14699394,g1180,d2570,antagonist
15625110,g596,d3380,inhibitor
17016423,g479,d2842,no_interaction
17016423,g1587,d1868,no_interaction
20197484,g682,d2706,antagonist
18974361,g308,d2092,inhibitor
9336012,g287,d2592,inhibitor
17016423,g479,d2809,no_interaction
17016423,g1847,d2676,no_interaction
15595341,g1601,d2557,agonist
9695721,g1174,d286,antibody
11026622,g757,d2318,agonist
17016423,g293,d2409,no_interaction
1324557,g1737,d2753,agonist
12873999,g1279,d3264,inhibitor
17026451,g1116,d2834,antagonist
17016423,g2412,d2261,no_interaction
14498756,g1701,d3272,inhibitor
15772097,g1793,d3047,cofactor
17016423,g447,d2071,no_interaction
17016423,g833,d1736,no_interaction
17389558,g1477,d3078,multitarget
12055328,g1807,d2318,agonist
17016423,g23,d1740,no_interaction
20627999,g1598,d3118,agonist
15198222,g1883,d446,no_interaction
18691132,g1114,d200,agonist
20007701,g2099,d3330,inhibitor
16869821,g2418,d59,inhibitor
21143836,g196,d94,agonist
6143816,g91,d2964,agonist
15894081,g656,d1927,antagonist
20151072,g1807,d282,agonist
16939423,g1807,d282,agonist
17016423,g479,d2441,no_interaction
12974388,g152,d3156,cofactor
7518297,g1579,d2640,inhibitor
17016423,g1645,d2261,no_interaction
17016423,g1611,d1693,no_interaction
16507691,g1806,d2318,agonist
10373451,g1690,d1914,inhibitor
17911465,g285,d2207,binder
21587264,g1034,d3144,antagonist
17017961,g2149,d2907,inhibitor
15809432,g1421,d66,inhibitor
3780719,g649,d1693,inhibitor
16432265,g1476,d3078,multitarget
15548677,g1369,d3259,inhibitor
17016423,g479,d1693,no_interaction
12501872,g2056,d2149,potentiator
2125244,g1360,d2041,antagonist
17016423,g836,d77,no_interaction
10878295,g633,d2450,inhibitor
10444479,g2296,d2341,inhibitor
11352979,g2184,d2272,inhibitor
15645012,g1117,d3302,antagonist
10770198,g2058,d3448,antagonist
17016423,g1602,d2750,no_interaction
11716850,g19,d3098,inhibitor
10836199,g730,d1849,agonist
11132243,g1113,d2830,antagonist
17726343,g1697,d3140,inhibitor
16580895,g2043,d3047,cofactor
17016423,g183,d2595,no_interaction
18691132,g658,d3148,agonist
15289999,g1476,d95,agonist
17016423,g730,d3100,no_interaction
11374034,g260,d2941,agonist
17016423,g741,d2988,no_interaction
2326286,g730,d1806,agonist
19119014,g287,d3425,inhibitor
18452763,g1878,d3414,agonist
14684332,g293,d2592,no_interaction
10487207,g456,d3354,antagonist
23545936,g657,d2518,no_interaction
17212998,g398,d52,antagonist
1611705,g2296,d2341,inhibitor
23090647,g1004,d2486,agonist
17016423,g1174,d2900,no_interaction
17139494,g480,d2687,partial agonist
15564772,g1078,d1846,antagonist
17082235,g1807,d3098,agonist
9670923,g308,d2638,inhibitor
9806221,g677,d358,antagonist
17016423,g447,d2676,no_interaction
10485483,g1884,d3259,inhibitor
20350663,g1445,d3132,antibody
20185318,g297,d1979,inhibitor
19683471,g1194,d2364,agonist
11054378,g1159,d3255,inhibitor
25685857,g1688,d2867,antibody
11054378,g1159,d153,no_interaction
17016423,g87,d2261,no_interaction
17016423,g574,d432,no_interaction
17016423,g183,d532,no_interaction
17291698,g307,d3438,inhibitor
17369066,g1480,d2595,product of
15862515,g1108,d221,partial agonist
14700733,g2150,d2611,negative modulator
6151117,g1632,d3031,agonist
19610651,g1078,d1673,antagonist
17016423,g36,d2676,no_interaction
19820031,g890,d2864,antagonist
17501690,g656,d221,partial agonist
17016423,g574,d1868,no_interaction
17016423,g833,d2146,no_interaction
17016423,g2366,d2071,no_interaction
17016423,g741,d532,no_interaction
17016423,g1174,d2750,no_interaction
16620997,g808,d2146,binder
7409209,g2276,d2634,binder
17016423,g1602,d2385,no_interaction
2521824,g183,d2136,agonist
15740177,g1116,d1924,antagonist
20022821,g2028,d96,inhibitor
11929319,g1202,d3385,antagonist
17020493,g396,d52,antagonist
17016423,g1847,d2670,no_interaction
17016423,g447,d2670,no_interaction
17016423,g1883,d2750,no_interaction
16971151,g102,d3047,cofactor
16890795,g1924,d3226,inhibitor
17109615,g731,d3436,other
19695403,g231,d1747,antagonist
20230616,g1194,d2364,agonist
11132243,g656,d3129,antagonist
17016423,g1113,d3419,no_interaction
17016423,g833,d330,no_interaction
14670645,g730,d2753,agonist
17016423,g574,d2677,no_interaction
9622415,g931,d2691,agonist
10334992,g1597,d1660,other
20967473,g1690,d3391,inhibitor
17233532,g2099,d3330,inhibitor
16729906,g802,d3226,antagonist
2248058,g1358,d2389,inhibitor
1970615,g1078,d375,antagonist
6726060,g2255,d2300,other
17016423,g1113,d2676,no_interaction
15535430,g730,d289,antagonist
17016423,g2148,d77,no_interaction
11704657,g1113,d2621,antagonist
11861820,g2149,d2611,negative modulator
12196472,g19,d3098,inhibitor
1682484,g92,d3017,agonist
9831331,g1883,d2807,inhibitor
17016423,g1847,d2409,no_interaction
17016423,g1113,d2456,no_interaction
25808831,g2311,d2107,inhibitor
10740137,g1060,d461,inhibitor
17158527,g1369,d226,inducer
17660958,g721,d3412,antibody
9541386,g293,d367,inhibitor
17016423,g1601,d432,no_interaction
6094175,g981,d444,inhibitor
21169421,g2412,d1935,other
15840827,g122,d3047,cofactor
17016423,g1602,d77,no_interaction
12664192,g1113,d2511,antagonist
16030053,g343,d1701,agonist
11061985,g599,d3545,antagonist
17016423,g1641,d2595,no_interaction
17016423,g741,d2809,no_interaction
8786535,g952,d1993,antagonist
19952416,g1884,d2807,inhibitor
17016423,g1697,d2750,no_interaction
17016423,g1645,d3400,no_interaction
11386852,g2069,d3334,cofactor
17016423,g1641,d2261,no_interaction
9587031,g1479,d2300,cofactor
16230390,g1159,d226,inducer
16056233,g2001,d3266,agonist
10518442,g147,d1879,inhibitor
10754148,g183,d334,antagonist
17016423,g36,d2261,no_interaction
15044733,g633,d243,inhibitor
12426219,g9,d2215,inhibitor
3920599,g111,d3259,inhibitor
17016423,g741,d1740,no_interaction
20441428,g282,d2207,binder
17016423,g2148,d2261,no_interaction
10828316,g1931,d3297,agonist
10328995,g1116,d1708,agonist
10852638,g1419,d2544,antagonist
10500149,g183,d334,antagonist
17016423,g1645,d2456,no_interaction
2982481,g1601,d2557,agonist
10657949,g1884,d3259,inhibitor
17016423,g479,d2456,no_interaction
17016423,g1587,d2988,no_interaction
9873034,g1578,d2640,inhibitor
15898717,g1138,d2862,agonist
18465538,g410,d135,inhibitor
17922476,g1194,d2362,agonist
17329241,g1872,d1903,agonist
1375507,g1879,d2331,agonist
17016423,g831,d2900,no_interaction
17016423,g1697,d2677,no_interaction
17016423,g23,d2842,no_interaction
12213055,g2149,d2546,inhibitor
16789740,g1400,d2595,product of
15072849,g2291,d2339,agonist
17016423,g1641,d2022,no_interaction
15070923,g1040,d3047,cofactor
11196553,g2028,d2113,inhibitor
16522696,g231,d1747,antagonist
17016423,g574,d2022,no_interaction
15771415,g656,d2773,no_interaction
17016423,g1174,d3123,no_interaction
17016423,g831,d2842,no_interaction
22130964,g82,d3091,agonist
14709325,g1108,d221,partial agonist
7750284,g1737,d1849,agonist
18715952,g1873,d1903,agonist
23319019,g1172,d3120,binder
16955786,g730,d2044,agonist
22298602,g892,d3320,binder
17016423,g2412,d2595,no_interaction
10444166,g1792,d1712,inducer
1359073,g1357,d3016,inhibitor
17016423,g730,d2670,no_interaction
10212017,g449,d375,antagonist
17062721,g730,d3402,modulator
17016423,g2366,d1868,no_interaction
17016423,g836,d2750,no_interaction
17016423,g2148,d3504,no_interaction
19879888,g2199,d1954,inhibitor
12676070,g2028,d2635,inhibitor
17016423,g831,d432,no_interaction
17016423,g836,d532,no_interaction
15063480,g1737,d2067,agonist
10871190,g1807,d3147,agonist
15955613,g1358,d2611,no_interaction
17016423,g1611,d2809,no_interaction
17016423,g574,d2750,no_interaction
10398211,g36,d1694,inhibitor
18564273,g1180,d2570,antagonist
1708834,g789,d2878,inhibitor
11948191,g350,d3047,cofactor
10917554,g15,d3256,inhibitor
11900797,g1635,d2070,agonist
17016423,g447,d1868,no_interaction
12679420,g618,d3047,cofactor
10047461,g2366,d3077,inhibitor
15163595,g1879,d2331,agonist
16926630,g2366,d425,inhibitor
10698696,g1626,d3234,product of
3812589,g1479,d2300,cofactor
1731757,g468,d1759,ligand
8968334,g1635,d2464,partial agonist
17016423,g730,d2146,no_interaction
15950014,g2149,d2589,negative modulator
17016423,g833,d2441,no_interaction
11264449,g831,d3354,potentiator
17016423,g730,d2988,no_interaction
17440943,g2412,d2019,agonist
1599956,g1360,d2041,antagonist
17469798,g122,d3047,cofactor
12631701,g1378,d3156,cofactor
17016423,g2099,d2434,no_interaction
12397367,g2056,d214,potentiator
16973761,g931,d2226,agonist
17016423,g1847,d2750,no_interaction
17016423,g1601,d2784,no_interaction
17016423,g1174,d2595,no_interaction
8930173,g88,d2698,agonist
15955613,g2148,d163,no_interaction
18446586,g830,d2947,antagonist
12742526,g928,d3156,cofactor
17016423,g1883,d432,no_interaction
17016423,g618,d3440,no_interaction
2466833,g2407,d2289,binder
17460608,g2078,d3404,inhibitor
19125880,g305,d3504,inhibitor
12060657,g2307,d318,other
11132243,g1110,d3129,antagonist
17016423,g618,d3504,no_interaction
21587264,g1037,d3144,inhibitor
11752096,g631,d3442,inhibitor
11834243,g1112,d1976,agonist
8301142,g1931,d2071,agonist
6103055,g1357,d2844,inhibitor
20463020,g1883,d2318,inhibitor
1957124,g681,d3252,inducer
15379894,g147,d2748,inhibitor
11255078,g682,d2838,other
24947465,g1108,d365,partial agonist
18343915,g287,d3564,inhibitor
17016423,g574,d2900,no_interaction
8997630,g1113,d2330,antagonist
11426849,g448,d2174,antagonist
17024475,g1480,d1771,cofactor
23204107,g565,d2974,antagonist
17016423,g87,d2146,no_interaction
10378469,g981,d444,inhibitor
17016423,g479,d3419,no_interaction
17016423,g730,d1693,no_interaction
16610779,g535,d1979,inhibitor
11948179,g209,d3334,cofactor
10446316,g656,d3145,agonist
20645691,g573,d55,inhibitor
16402123,g830,d1993,other
16472864,g1231,d1804,antagonist
3058238,g730,d2136,antagonist
12902326,g2069,d3334,cofactor
17016423,g2148,d2988,no_interaction
20072833,g709,d1815,antagonist
19942638,g834,d2047,agonist
19601701,g677,d138,antagonist
15178355,g1632,d1888,agonist
17016423,g1847,d1740,no_interaction
9537821,g2149,d2637,binder
17016423,g1113,d2900,no_interaction
17016423,g1847,d2456,no_interaction
15251194,g123,d3047,cofactor
15163595,g1879,d3415,agonist
17184907,g1999,d3417,agonist
23563700,g791,d2985,inhibitor
12183683,g1108,d3509,agonist
10871202,g2058,d3448,antagonist
9336012,g287,d1872,inhibitor
3474745,g649,d1693,inhibitor
15794735,g343,d1701,agonist
12513698,g1635,d1864,agonist
11343576,g656,d200,agonist
17016423,g2402,d3400,no_interaction
17016423,g618,d2071,no_interaction
18411198,g1601,d2557,agonist
10445375,g1113,d1842,antagonist
11161433,g570,d147,inhibitor
17016423,g831,d3123,no_interaction
11342206,g1202,d3385,antagonist
14684332,g287,d367,inhibitor
23545936,g1120,d2330,no_interaction
17111172,g655,d2137,antagonist
10463324,g1110,d3562,agonist
12591363,g1174,d286,antibody
17016423,g2099,d2670,no_interaction
14753710,g801,d3264,inhibitor
18491987,g1701,d3464,inhibitor
17016423,g1883,d2434,no_interaction
12211096,g1113,d2830,antagonist
16763894,g123,d3047,cofactor
15562618,g2310,d3220,inhibitor
12861354,g1601,d2509,agonist
21486038,g1108,d3530,agonist
17296815,g1924,d3264,no_interaction
16495076,g1114,d3302,antagonist
12388649,g2148,d3089,inhibitor
15691217,g2296,d2355,inhibitor
19929706,g1878,d3414,agonist
17016423,g2412,d2676,no_interaction
17016423,g618,d77,no_interaction
16950805,g1475,d3334,cofactor
17016423,g2402,d3100,no_interaction
17016423,g1883,d2677,no_interaction
17530023,g1174,d2286,modulator
17016423,g1641,d432,no_interaction
16234514,g2311,d2008,inhibitor
11015308,g1109,d2022,agonist
11729362,g1884,d2423,inhibitor
12497018,g183,d2725,antagonist
17016423,g2412,d3417,no_interaction
8319832,g815,d3477,agonist
17016423,g574,d1693,no_interaction
12213059,g19,d2215,other
12475777,g19,d2204,inhibitor
12435815,g1635,d2070,agonist
15365090,g437,d2215,antagonist
17431542,g2233,d2466,agonist
12405293,g1060,d2510,inhibitor
3480361,g649,d1693,inhibitor
17016423,g1645,d83,no_interaction
11146120,g1564,d1714,other
15229223,g730,d2559,antagonist
3954800,g1357,d2647,inhibitor
17016423,g833,d2456,no_interaction
17016423,g183,d3419,no_interaction
17016423,g1601,d1740,no_interaction
11448925,g1060,d461,inhibitor
3190453,g38,d1820,inhibitor
11716850,g19,d2654,inhibitor
17016423,g831,d2071,no_interaction
17016423,g831,d3417,no_interaction
17155857,g1700,d1697,inhibitor
15689518,g2043,d3047,cofactor
17016423,g2402,d1736,no_interaction
12407077,g437,d2215,antagonist
17016423,g1884,d2022,no_interaction
12177684,g1108,d2115,agonist
6827166,g1737,d1957,agonist
15931605,g1071,d2735,inhibitor
17016423,g741,d2670,no_interaction
11693467,g215,d2444,inhibitor
17015480,g1737,d3023,agonist
18805433,g405,d2452,antagonist
12901032,g1884,d3163,inhibitor
17016423,g730,d2842,no_interaction
17016423,g2099,d330,no_interaction
17158759,g731,d3285,antagonist
17016423,g1645,d1740,no_interaction
17016423,g1810,d77,no_interaction
11869873,g571,d2633,inhibitor
17016423,g479,d1740,no_interaction
17692905,g2413,d1805,inhibitor
19576186,g1993,d1712,inhibitor
9118466,g779,d2656,other
17107221,g1737,d2753,agonist
19731987,g1737,d2557,agonist
17487473,g571,d2633,inhibitor
3416882,g345,d2148,inhibitor
17016423,g87,d83,no_interaction
15351799,g183,d1942,agonist
12209583,g730,d3436,other
17016423,g23,d2385,no_interaction
9760035,g1642,d434,agonist
17016423,g36,d2434,no_interaction
15514211,g9,d3014,inhibitor
11218067,g1117,d1708,agonist
17016423,g1641,d2441,no_interaction
17535043,g656,d3568,antagonist
12011122,g1445,d2312,antibody
9231703,g321,d407,agonist
12269863,g1110,d3135,agonist
10601100,g1737,d2067,agonist
844253,g2255,d2300,other
12003373,g633,d2450,inhibitor
16723495,g1079,d2082,antagonist
17016423,g2099,d2146,no_interaction
15102095,g1932,d3297,agonist
15974585,g563,d2423,other
1744096,g1479,d2300,cofactor
17187516,g1175,d1832,agonist
17016423,g183,d77,no_interaction
18691132,g655,d200,agonist
17016423,g831,d1868,no_interaction
20595800,g890,d2864,antagonist
17016423,g2402,d2385,no_interaction
11024226,g1602,d1946,antagonist
17016423,g2099,d3417,no_interaction
12742462,g1478,d3206,inhibitor
17016423,g1113,d83,no_interaction
25136065,g899,d99,agonist
8737748,g1883,d1882,inhibitor
17016423,g293,d2564,no_interaction
19344392,g1478,d2072,inhibitor
12211096,g656,d2830,antagonist
17016423,g87,d1868,no_interaction
2573104,g656,d2889,antagonist
12111824,g2145,d2248,inhibitor
12754408,g1159,d248,inhibitor
17088426,g1698,d81,product of
17016423,g1602,d3419,no_interaction
17691997,g1884,d2069,inhibitor
12208114,g1884,d153,inhibitor
11890515,g1701,d3492,inhibitor
15678110,g1559,d3435,antagonist
20602248,g331,d1781,binder
17016423,g2099,d3100,inhibitor
8513851,g36,d3305,inhibitor
17016423,g2148,d2146,no_interaction
1426023,g448,d2816,antagonist
17016423,g831,d2022,no_interaction
17631921,g2342,d1866,potentiator
1426023,g448,d3019,antagonist
9406449,g1337,d3458,inhibitor
16472864,g1230,d1804,antagonist
3661710,g1079,d324,agonist
11368283,g1601,d2126,agonist
17016423,g1697,d432,no_interaction
16707409,g2166,d2020,inhibitor
17016423,g183,d2146,no_interaction
17016423,g1174,d2988,no_interaction
8809191,g1095,d3436,inhibitor
17530144,g1601,d1690,agonist
17016423,g2412,d2409,no_interaction
17016423,g1602,d3123,no_interaction
18503402,g682,d2838,other
17016423,g1174,d2456,no_interaction
17016423,g618,d1868,no_interaction
477738,g1358,d2850,inhibitor
21606412,g1952,d401,antagonist
17016423,g447,d2677,no_interaction
15980878,g83,d1999,antagonist
17016423,g1884,d1740,no_interaction
12667677,g1175,d286,antibody
16939630,g1578,d3435,agonist
19077543,g2028,d3083,inhibitor
19509315,g1203,d3497,antibody
9298126,g1998,d2071,agonist
17155893,g2198,d1815,multitarget
16642960,g1831,d81,activator
19537708,g2207,d2770,binder
10579749,g100,d3165,antagonist
15672122,g1701,d1914,inhibitor
10208491,g1475,d3334,cofactor
17016423,g1601,d3400,no_interaction
14647959,g1108,d221,partial agonist
15618715,g11,d2215,inhibitor
11772274,g1926,d2994,agonist
17016423,g730,d2071,no_interaction
12126930,g3,d3047,cofactor
17016423,g831,d1736,no_interaction
16153821,g730,d2798,agonist
17138644,g1737,d2554,agonist
18045204,g113,d234,inhibitor
105006,g886,d2941,inducer
9610365,g1806,d2318,agonist
8636434,g1267,d1732,inhibitor
16519964,g2004,d157,antagonist
7491961,g353,d2873,agonist
17591945,g1863,d441,inhibitor
11391066,g74,d2148,inhibitor
15367040,g2233,d2466,agonist
16434140,g2233,d2466,agonist
20812347,g268,d3226,inhibitor
12044041,g2296,d76,antibody
17016423,g1645,d2409,no_interaction
25534555,g1477,d3294,agonist
17016423,g2402,d2900,no_interaction
16154710,g1807,d3303,partial agonist
20072833,g824,d1815,multitarget
6151117,g1633,d3031,antagonist
17158759,g731,d3285,agonist
15650315,g1180,d2995,antagonist
19582593,g309,d2125,inhibitor
12021103,g850,d3047,cofactor
14729151,g437,d2215,antagonist
19582593,g307,d2125,inhibitor
15016471,g3,d3047,cofactor
11264449,g456,d2279,antagonist
9042047,g599,d1702,antagonist
16357751,g396,d52,antagonist
15320857,g1112,d3562,agonist
10824635,g93,d2398,agonist
1323650,g1108,d123,antagonist
20502724,g2028,d2809,inhibitor
15311065,g2334,d2565,inducer
21413019,g1626,d3234,product of
17016423,g833,d1740,no_interaction
17463174,g1186,d2677,inhibitor
9808337,g487,d2000,inhibitor
14503934,g1602,d2010,antagonist
17016423,g293,d2022,no_interaction
19852528,g1116,d2834,antagonist
19578042,g1826,d248,inhibitor
8381250,g260,d2175,antagonist
12150698,g1117,d3302,antagonist
17016423,g830,d2900,no_interaction
16855178,g1884,d2579,inhibitor
10193776,g1060,d461,inhibitor
9806333,g1108,d123,antagonist
20357016,g1926,d2994,agonist
15200343,g2296,d76,antibody
10433496,g92,d123,no_interaction
18604239,g841,d1731,potentiator
16478774,g1385,d1752,agonist
7855217,g449,d375,no_interaction
23320989,g656,d443,agonist
9711448,g1789,d2792,inhibitor
17016423,g293,d2677,no_interaction
1968366,g92,d3017,agonist
17573128,g1884,d2069,inhibitor
12477372,g2197,d3314,inhibitor
17030227,g1883,d234,inhibitor
12601049,g1601,d379,antagonist
12667224,g631,d1672,inhibitor
17016423,g836,d2146,no_interaction
8380156,g2412,d1891,agonist
16304857,g1174,d1798,antibody
15793220,g644,d253,inhibitor
12566304,g1369,d3259,inhibitor
12475986,g1807,d3448,agonist
17016423,g2412,d2809,no_interaction
20358234,g656,d1945,antagonist
17016423,g1641,d77,no_interaction
25883042,g375,d351,activator
6646243,g1357,d2844,inhibitor
20530654,g1080,d321,antagonist
17016423,g1587,d3123,no_interaction
17016423,g1113,d2670,no_interaction
11295178,g631,d1672,inhibitor
8762097,g1646,d3266,antagonist
17016423,g1884,d330,no_interaction
17989688,g285,d1963,antibody
17016423,g479,d2900,no_interaction
9648873,g2099,d163,inhibitor
20463020,g1884,d2318,inhibitor
17016423,g2099,d77,no_interaction
17016423,g1113,d3123,no_interaction
11804849,g1268,d2343,inhibitor
18691132,g658,d3145,agonist
20080922,g398,d52,antagonist
17016423,g1810,d2670,no_interaction
15955613,g2149,d163,no_interaction
17409318,g758,d2490,ligand
17016423,g1602,d2676,no_interaction
16455452,g1718,d457,inhibitor
23545936,g1108,d2518,antagonist
17202666,g231,d1747,antagonist
8737748,g1884,d1882,inhibitor
10773010,g1180,d2995,antagonist
17565005,g478,d2188,inhibitor
18045204,g113,d3159,inhibitor
10372826,g1884,d3259,inhibitor
8301582,g656,d2956,antagonist
11840795,g1175,d286,antibody
17016423,g836,d2670,no_interaction
17016423,g87,d3400,no_interaction
15655513,g1884,d2517,inhibitor
10694244,g147,d3554,inhibitor
17016423,g87,d330,no_interaction
16696579,g656,d155,antagonist
17016423,g833,d3100,no_interaction
17016423,g2366,d2456,no_interaction
19303900,g828,d211,agonist
9718276,g1112,d3562,agonist
23437846,g1737,d3466,modulator
16531051,g1932,d114,agonist
17207992,g2412,d2019,agonist
16809153,g931,d466,antagonist
17016423,g1611,d3123,no_interaction
17016423,g183,d3123,no_interaction
17016423,g2402,d2123,no_interaction
17016423,g1113,d2123,no_interaction
17016423,g1113,d3400,no_interaction
17016423,g447,d2842,no_interaction
7750284,g730,d1849,agonist
17013809,g1737,d2554,agonist
10852638,g1422,d2544,inhibitor
11078056,g1884,d3259,inhibitor
16133532,g802,d3226,antagonist
12141946,g2178,d3234,ligand
10103097,g38,d1968,inhibitor
18343240,g682,d2838,other
11886751,g1441,d3047,cofactor
19822896,g23,d2724,inhibitor
18839173,g1598,d2029,agonist
17016423,g293,d432,no_interaction
17020418,g574,d2075,inhibitor
17016423,g618,d83,no_interaction
17016423,g574,d2456,no_interaction
17016423,g293,d3100,no_interaction
15242723,g1883,d3163,inhibitor
15860753,g1601,d294,agonist
15837316,g287,d3564,inhibitor
16556440,g2233,d2466,agonist
7961725,g2431,d1994,inhibitor
11784136,g295,d3400,inhibitor
17016423,g1587,d2670,no_interaction
10503933,g8,d3508,inhibitor
11132243,g1078,d3129,antagonist
17016423,g1847,d2809,no_interaction
15018596,g730,d2165,antagonist
17016423,g87,d2784,no_interaction
17016423,g447,d83,no_interaction
16525583,g2049,d2690,inhibitor
16207494,g1793,d3047,cofactor
17016423,g36,d2900,no_interaction
17016423,g1611,d2261,no_interaction
8578218,g681,d3252,inducer
11325388,g657,d3096,antagonist
10439935,g487,d2000,inhibitor
18422479,g1071,d2735,inhibitor
15023854,g20,d2215,modulator
18819053,g183,d3238,antagonist
17016423,g2099,d1868,no_interaction
15562200,g651,d3510,inhibitor
17063156,g487,d3395,inhibitor
1526623,g183,d2422,binder
17016423,g836,d2595,no_interaction
17016423,g2412,d3419,no_interaction
18596212,g1664,d3013,antagonist
17016423,g1847,d2146,no_interaction
16322797,g1027,d2715,agonist
14739809,g1250,d3348,inhibitor
16099840,g1026,d2715,agonist
15039140,g9,d2215,inhibitor
17016423,g1810,d330,no_interaction
12860127,g1562,d3047,cofactor
17016423,g2402,d3504,no_interaction
17016423,g741,d2071,no_interaction
8652509,g1883,d3265,inhibitor
11961144,g2128,d1721,inhibitor
8889850,g220,d3376,inhibitor
9744490,g1601,d2557,agonist
23545936,g1113,d2518,antagonist
17016423,g1611,d2022,no_interaction
15046527,g2296,d76,antibody
14684332,g287,d2592,inhibitor
17016423,g2366,d2123,no_interaction
11586072,g1932,d71,agonist
15824083,g1807,d3255,agonist
19531491,g911,d2274,inhibitor
17016423,g618,d2842,no_interaction
23272794,g1119,d2330,antagonist
17016423,g1883,d3419,no_interaction
10075381,g100,d2382,antagonist
16484345,g311,d2722,inhibitor
17016423,g1641,d2750,no_interaction
17016423,g730,d2809,no_interaction
6706930,g2320,d435,inhibitor
20512796,g730,d3285,agonist
7632944,g2056,d214,potentiator
16753266,g1633,d2670,agonist
18072813,g2233,d2466,agonist
17615995,g1479,d2595,product of
12755690,g2320,d2594,inhibitor
6439037,g183,d2136,agonist
11236773,g749,d1948,multitarget
19414254,g535,d1979,inhibitor
12070353,g1034,d3344,activator
17016423,g833,d432,no_interaction
17016423,g1883,d2670,no_interaction
9808337,g487,d3395,inhibitor
19475782,g1879,d2331,agonist
17016423,g1113,d2750,no_interaction
17016423,g833,d2434,no_interaction
10454501,g1805,d1724,agonist
2571484,g649,d1693,inhibitor
23319019,g1170,d3120,binder
17016423,g836,d1868,no_interaction
18434317,g2211,d2289,binder
11673972,g1884,d1882,inhibitor
23662017,g2177,d3519,antagonist
8494570,g293,d3564,inhibitor
15865438,g2069,d3047,cofactor
2226620,g293,d2294,inhibitor
17016423,g1645,d2842,no_interaction
16357751,g398,d52,antagonist
17016423,g618,d2022,no_interaction
17016423,g1810,d2441,no_interaction
15456329,g1884,d2688,inhibitor
14596599,g2043,d3047,cofactor
15790782,g2418,d59,inhibitor
18627212,g100,d2382,antagonist
10656824,g2068,d3334,cofactor
16538088,g1793,d3047,cofactor
22862294,g677,d2529,antagonist
7615202,g1884,d2688,inhibitor
17016423,g23,d2900,no_interaction
10452868,g1884,d3163,inhibitor
10455282,g1113,d2621,antagonist
19996149,g2141,d1808,other
15931068,g2331,d2565,inducer
17016423,g2402,d3417,no_interaction
17016423,g479,d2784,no_interaction
2882965,g147,d2579,inhibitor
17016423,g1602,d3100,no_interaction
17016423,g479,d2750,no_interaction
17016423,g87,d2071,no_interaction
2847647,g2311,d2772,inhibitor
17016423,g730,d2385,no_interaction
17016423,g1602,d3440,no_interaction
17016423,g293,d2123,no_interaction
21158551,g2335,d428,agonist
16817851,g570,d147,inhibitor
11588534,g1210,d53,antagonist
10593896,g792,d2829,binder
16817895,g1401,d2644,inhibitor
17016423,g23,d2564,no_interaction
16573350,g396,d52,antagonist
15680478,g339,d163,agonist
18782051,g1358,d3564,inhibitor
17016423,g741,d2456,no_interaction
17016423,g1847,d3123,no_interaction
17016423,g1113,d2022,no_interaction
26412054,g1113,d2115,antagonist
20080922,g396,d52,antagonist
7044524,g730,d2136,antagonist
17016423,g833,d2071,no_interaction
17016423,g836,d2441,no_interaction
15178355,g1635,d1888,agonist
